month,MKT_RF,SMB,HML,RMW,CMA,WML,RF,MKT
2001-07,-9.1855,0.6435,-0.969,4.3295,-10.7817,-1.9363,0.4329,-8.7526
2001-08,-1.6583,2.874,5.1793,2.2148,-9.5838,4.1142,0.401,-1.2572
2001-09,-13.0155,-1.9358,12.583,-0.7942,4.9556,6.6394,0.3803,-12.6352
2001-10,12.7809,4.9057,-8.6332,5.6012,-8.6101,-4.1242,0.3563,13.1372
2001-11,19.5732,-8.8296,6.6524,-2.176,6.2112,-1.0535,0.3699,19.9431
2001-12,8.0612,-1.8873,-2.6625,3.5904,-7.1003,0.5679,0.3947,8.4559
2002-01,6.9626,7.8207,5.054,-16.9254,11.2261,4.2184,0.3907,7.3533
2002-02,8.1698,-4.9489,-2.2799,15.1435,-11.786,3.7607,0.3707,8.5405
2002-03,10.0123,-3.0886,6.1643,3.1746,-5.6858,2.7351,0.3787,10.391
2002-04,-8.5488,-1.8895,-6.447,2.4485,-5.1886,11.2244,0.3907,-8.1581
2002-05,-5.0609,8.4003,-7.5189,-5.8056,10.2093,-4.7637,0.3923,-4.6687
2002-06,-7.3346,-2.2054,5.0991,4.7065,-3.6202,7.0029,0.3955,-6.9392
2002-07,-3.869,-0.3897,4.1185,-10.9319,3.193,-0.7802,0.4002,-3.4688
2002-08,2.0036,3.0687,-3.3018,0.1518,-2.319,1.5772,0.3915,2.395
2002-09,-13.5571,0.1454,1.9816,9.2537,-12.9884,6.5574,0.3923,-13.1648
2002-10,1.476,-1.6088,-1.1346,-0.8848,1.4757,3.6892,0.4002,1.8762
2002-11,9.6879,-7.1867,-0.5893,1.4172,-0.1812,5.1574,0.4002,10.0882
2002-12,-12.1743,1.0518,2.4397,6.633,-3.6871,4.2312,0.3994,-11.7748
2003-01,-5.7768,0.1447,-0.449,1.6535,1.5784,1.0255,0.3835,-5.3934
2003-02,-3.4063,1.7119,2.2644,-0.6266,1.0494,-0.5855,0.3707,-3.0356
2003-03,-7.2868,-6.0442,-1.3459,6.1463,-2.7232,8.1628,0.3883,-6.8985
2003-04,11.8068,-1.7277,0.3709,-4.0462,2.6216,-6.0825,0.3771,12.1839
2003-05,5.7335,4.0187,-3.0882,-8.6567,-2.2267,-3.0525,0.3587,6.0921
2003-06,5.5103,-4.9451,-1.4578,-2.3153,5.2615,-2.0532,0.3499,5.8602
2003-07,5.3708,-4.7696,-0.9165,7.5087,-4.4771,1.1995,0.3394,5.7102
2003-08,5.6831,-5.626,10.8408,-2.8995,4.775,1.8215,0.3193,6.0024
